"Rep","time","mintime","chainlength","gaplength","from","to","step","time_adj"
"Chain3",710,0,93.1864639626592,27.5173172891512,710,720,72,710
"Chain3",720,0,87.641621080334,33.1449190204663,720,730,73,720
"Chain3",730,0,82.5105724429585,38.2759676578418,730,740,74,730
"Chain3",740,0,76.138141070734,44.6483990300663,740,750,75,740
"Chain3",750,0,75.1450348828549,45.3932286709756,750,760,76,750
"Chain4",160,160,10.3056768558952,27.9039301310044,160,170,1,0
"Chain4",170,160,11.353711790393,27.0305676855895,170,180,2,10
"Chain4",180,160,18.0786026200873,20.3056768558952,180,190,3,20
"Chain4",190,160,25.1528384279476,13.1441048034934,190,200,4,30
"Chain4",200,160,23.2314410480349,18.1222707423581,200,210,5,40
"Chain4",210,160,21.6593886462882,19.7816593886463,210,220,6,50
"Chain4",220,160,23.7554585152838,17.5109170305677,220,230,7,60
"Chain4",230,160,20.9606986899563,20.3056768558952,230,240,8,70
"Chain4",240,160,24.4541484716157,16.8995633187773,240,250,9,80
"Chain4",250,160,24.8908296943231,16.5502183406114,250,260,10,90
"Chain4",260,160,24.8034934497817,16.4628820960699,260,270,11,100
"Chain4",270,160,25.589519650655,15.764192139738,270,280,12,110
"Chain4",280,160,24.5414847161572,16.8995633187773,280,290,13,120
"Chain4",290,160,25.589519650655,15.8515283842795,290,300,14,130
"Chain4",300,160,22.0960698689956,19.1703056768559,300,310,15,140
"Chain4",310,160,23.5807860262009,17.5982532751092,310,320,16,150
"Chain4",320,160,25.764192139738,15.938864628821,320,330,17,160
"Chain4",330,160,29.6943231441048,12.7947598253275,330,340,18,170
"Chain4",340,160,32.2270742358079,11.0480349344978,340,350,19,180
"Chain4",350,160,34.061135371179,12.1834061135371,350,360,20,190
"Chain4",360,160,32.7510917030568,14.0174672489083,360,370,21,200
"Chain4",370,160,36.1572052401747,12.5327510917031,370,380,22,210
"Chain4",380,160,34.3231441048035,15.4148471615721,380,390,23,220
"Chain4",390,160,36.0698689956332,13.5807860262009,390,400,24,230
"Chain4",400,160,34.8471615720524,14.9781659388646,400,410,25,240
"Chain4",410,160,37.117903930131,14.1921397379913,410,420,26,250
"Chain4",420,160,44.2794759825327,9.12663755458516,420,430,27,260
"Chain4",430,160,47.7729257641921,9.56331877729257,430,440,28,270
"Chain4",440,160,48.646288209607,10.6113537117904,440,450,29,280
"Chain4",450,160,49.6069868995633,11.9213973799127,450,460,30,290
"Chain4",460,160,51.0043668122271,13.1441048034935,460,470,31,300
"Chain4",470,160,58.4279475982533,7.03056768558952,470,480,32,310
"Chain4",480,160,53.8864628820961,13.5807860262009,480,490,33,320
"Chain4",490,160,61.0480349344978,10.5240174672489,490,500,34,330
"Chain4",500,160,63.8427947598253,14.1921397379913,500,510,35,340
"Chain4",510,160,63.9301310043668,14.9781659388646,510,520,36,350
"Chain4",520,160,58.8646288209607,20.1310043668122,520,530,37,360
"Chain4",530,160,58.4279475982533,20.6550218340611,530,540,38,370
"Chain4",540,160,57.2052401746725,21.8777292576419,540,550,39,380
"Chain4",550,160,60.0873362445415,18.7336244541485,550,560,40,390
"Chain4",560,160,67.4235807860262,11.9213973799127,560,570,41,400
"Chain4",570,160,64.1484716157205,15.8951965065502,570,580,42,410
"Chain4",580,160,65.414847161572,14.6288209606987,580,590,43,420
"Chain4",590,160,70.4803493449782,12.4454148471616,590,600,44,430
"Chain4",600,160,68.9082969432314,15.2401746724891,600,610,45,440
"Chain4",610,160,65.6768558951965,18.3842794759825,610,620,46,450
"Chain4",620,160,68.5589519650655,15.1528384279476,620,630,47,460
"Chain4",630,160,70.8296943231441,13.6681222707424,630,640,48,470
"Chain4",640,160,67.2489082969432,17.7729257641921,640,650,49,480
"Chain4",650,160,75.4585152838428,10.5240174672489,650,660,50,490
"Chain4",660,160,71.0480349344978,16.4192139737991,660,670,51,500
"Chain4",670,160,71.0043668122271,16.2882096069869,670,680,52,510
"Chain4",680,160,79.9126637554585,9.56331877729257,680,690,53,520
"Chain4",690,160,82.7947598253275,12.9694323144105,690,700,54,530
"Chain4",700,160,90.6550218340611,9.91266375545852,700,710,55,540
"Chain4",710,160,93.1877729257642,12.0960698689956,710,720,56,550
"Chain4",720,160,91.8777292576419,13.4061135371179,720,730,57,560
"Chain4",730,160,101.921397379913,9.12663755458516,730,740,58,570
"Chain4",740,160,99.9126637554585,14.4541484716157,740,750,59,580
"Chain4",750,160,96.2445414847162,17.9475982532751,750,760,60,590
"Chain4",760,160,92.8384279475983,21.7903930131004,760,770,61,600
"Chain4",770,160,91.703056768559,22.8384279475983,770,780,62,610
"Chain4",780,160,98.3406113537118,15.938864628821,780,790,63,620
"Chain4",790,160,93.7991266375546,20.4803493449782,790,800,64,630
"Chain4",800,160,90.1310043668122,24.3231441048035,800,810,65,640
"Chain4",810,160,90.5676855895197,23.7117903930131,810,820,66,650
"Chain4",820,160,91.0917030567686,23.9737991266376,820,830,67,660
"Chain4",830,160,86.2008733624454,28.8646288209607,830,840,68,670
"Chain4",840,160,87.2489082969432,27.8165938864629,840,850,69,680
"Chain4",850,160,89.5196506550218,25.5458515283843,850,860,70,690
"Chain4",860,160,87.9475982532751,27.0305676855895,860,870,71,700
"Chain4",870,160,87.3362445414847,27.5545851528384,870,880,72,710
"Chain4",880,160,82.9694323144105,31.7467248908297,880,890,73,720
"Chain4",890,160,74.3231441048035,24.410480349345,890,900,74,730
"Chain4",900,160,71.8923144104804,18.0494323144105,900,910,75,740
"Chain4",910,160,70.8296943231441,19.9272489082969,910,920,76,750
"Chain4",920,160,69.4323144104803,21.0917030567686,920,930,77,760
"Chain4",930,160,70.6550218340611,19.9854148471616,930,940,78,770
"Chain4",940,160,80.0873362445415,14.163056768559,940,950,79,780
"Chain4",950,160,85.1528384279476,14.1048034934498,950,960,80,790
"Chain4",960,160,96.1572052401747,9.47598253275109,960,970,81,800
"Chain4",970,160,99.0393013100437,7.90393013100436,970,980,82,810
"Chain4",980,160,108.646288209607,7.46724890829695,980,990,83,820
"Chain4",990,160,119.737991266376,6.24454148471616,990,1000,84,830
"Chain4",1000,160,118.165938864629,9.82532751091703,1000,1010,85,840
"Chain4",1010,160,118.602620087336,9.73799126637555,1010,1020,86,850
"Chain4",1020,160,115.458515283843,13.2314410480349,1020,1030,87,860
"Chain4",1030,160,114.061135371179,14.3668122270742,1030,1040,88,870
"Chain4",1040,160,117.292576419214,11.7467248908297,1040,1050,89,880
"Chain5",0,0,16.703232399822,22.1702078560008,0,10,1,0
"Chain5",10,0,16.6620238350339,22.2663886462162,10,20,2,10
"Chain5",20,0,17.6510293899484,21.167438640447,20,30,3,20
"Chain5",30,0,17.3213608716436,21.4971071587519,30,40,4,30
"Chain5",40,0,21.2773830913017,17.5410849390937,40,50,5,40
"Chain5",50,0,20.7828803138444,18.3652562348559,50,60,6,50
"Chain5",60,0,21.3598002208779,17.7608914236735,60,70,7,60
"Chain5",70,0,18.4752006857105,20.4806566996885,70,80,8,70
"Chain5",80,0,20.9477145729969,18.0081428124021,80,90,9,80
"Chain5",90,0,19.2993719814726,19.903736792655,90,100,10,90
"Chain5",100,0,19.7114576293537,19.4916511447739,100,110,11,100
"Chain5",110,0,18.8048692040154,20.4806566996885,110,120,12,110
"Chain5",120,0,19.1345377223202,20.0685710518074,120,130,13,120
"Chain5",130,0,22.9257256828259,16.3598002208779,130,140,14,130
"Chain5",140,0,20.5356289251158,18.9147312377404,140,150,15,140
"Chain5",150,0,21.1949659617255,18.337811330707,150,160,16,150
"Chain5",160,0,22.1015543870638,17.4312229053687,160,170,17,160
"Chain5",170,0,24.8213196630788,14.5466233702013,170,180,18,170
"Chain5",180,0,24.1619826264691,15.618046054692,180,190,19,180
"Chain5",190,0,23.4202284602832,16.1125488321493,190,200,20,190
"Chain5",200,0,26.7993307729078,12.8158636491008,200,210,21,200
"Chain5",210,0,28.2828391052796,12.898280778677,210,220,22,210
"Chain5",220,0,22.5960571645211,18.5026455898594,220,230,23,220
"Chain5",230,0,28.5300904940083,13.4752006857105,230,240,24,230
"Chain5",240,0,27.62350206867,15.7004631842682,240,250,25,240
"Chain5",250,0,29.4366789193466,13.6400349448629,250,260,26,250
"Chain5",260,0,33.3927011390047,12.4037780012198,260,270,27,260
"Chain5",270,0,36.4421349333245,12.4037780012198,270,280,28,270
"Chain5",280,0,38.0904775248488,11.0851039280004,280,290,29,280
"Chain5",290,0,37.4311404882391,15.7004631842682,290,300,30,290
"Chain5",300,0,41.8816654853545,13.1455321674057,300,310,31,300
"Chain5",310,0,54.2442349217861,11.5796067054577,310,320,32,310
"Chain5",320,0,59.3540969555112,11.8268580941863,320,330,33,320
"Chain5",330,0,60.7551881583068,12.0741094829149,330,340,34,330
"Chain5",340,0,67.7606441722848,11.0026867984242,340,350,35,340
"Chain5",350,0,71.9639177806715,11.6620238350339,350,360,36,350
"Chain5",360,0,77.9803682397349,9.93126411393344,360,370,37,360
"Chain5",370,0,75.4254372228724,14.1345377223202,370,380,38,370
"Chain5",380,0,76.9913626848204,12.2389437420673,380,390,39,380
"Chain5",390,0,83.6671501804935,9.84884698435723,390,400,40,390
"Chain5",400,0,79.5462937016829,14.9587090180823,400,410,41,400
"Chain5",410,0,80.9473849044785,14.2993719814726,410,420,42,410
"Chain5",420,0,79.3814594425305,16.2773830913017,420,430,43,420
"Chain5",430,0,79.6287108312592,16.0301317025731,430,440,44,430
"Chain5",440,0,81.2770534227834,14.1345377223202,440,450,45,440
"Chain5",450,0,86.2632897621442,9.80763841956911,450,460,46,450
"Chain5",460,0,88.0352580480327,11.4147724463052,460,470,47,460
"Chain5",470,0,81.8539733298169,18.1729770715546,470,480,48,470
"Chain5",480,0,78.6397052763446,20.8927423475695,480,490,49,480
"Chain5",490,0,78.0627853693112,21.2224108658744,490,500,50,490
"Chain5",500,0,71.2221636144856,24.0245932714655,500,510,51,500
"Chain5",510,0,71.4694150032143,20.1509881813836,510,520,52,510
"Chain5",520,0,72.7056719468574,19.0795654968929,520,530,53,520
"Chain5",530,0,79.4638765721068,12.5686122603722,530,540,54,530
"Chain5",540,0,74.3540145383817,17.4312229053687,540,550,55,540
"Chain5",550,0,77.7331168510063,13.5576178152867,550,560,56,550
"Chain5",560,0,79.0517909242257,12.7334465195246,560,570,57,560
"Chain5",570,0,79.0517909242257,12.6510293899484,570,580,58,570
"Chain5",580,0,75.5078543524486,16.1949659617255,580,590,59,580
"Chain5",590,0,75.7551057411773,16.1125488321493,590,600,60,590
"Chain5",600,0,76.7853198608799,15.2471689715991,600,610,61,600
"Chain5",610,0,78.8045395354971,12.7334465195246,610,620,62,610
